"title","prompt","response"
"Aachen","I would like to travel from Daegu to Aachen for 3 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Ludwig Forum für Internationale Kunst (Adult €5; Child €3)
  While the building looks less than impressive from the outside, ''Ludwig Forum für Internationale Kunst'' houses a grand collection of contemporary art, including works by Andy Warhol, Roy Lichtenstein and Keith Haring. Text accompanying the works is given in both German and English.
- Belvedere rotating water tower
  Park above the town.
- Elisa Fountain
  Built 1827, thermal waters of the spa town.
- Uniklinik
  The university's hospital. One striking example of post-modern architecture like the Centre Pompidou in Paris.
- Haus Löwenstein
  14th century building

[Activities]
- Carolus Thermen
  Large and very well known spa, sauna and wellness place.
- Lousberg
  A recreational area situated just north of the city centre that offers stunning views of the city below.

[Shops]
- Nobis Printen
- Krämerstraße and Market
  Small shops in a very touristic area.
- Jakobstraße
  Smaller shops and boutiques.
- Labertz Factory shop
  gingerbread and biscuits

[Restaurants]
- Pont Grill
  Very cheap and good Chicken, Pizza and Turkish food.
- La Bécasse
  French restaurant
- Maranello
  Italian Pizza from a real stone oven.
- San Sheng
  Authentic Chinese food.
- Del Negro
  Best ice cream in town.

[Bars]
- Pontgarten
  Cheap Cocktails and nice food.
- Molkerei
  Pub suitable for younger crowd, near Ponttor.
- Egmont
  A delightful bar/café that occasionally hosts live music. Food can be ordered from the Lebanese restaurant next door and brought to your table without you having to get up!
- Kiste
  Small pub. Has a discount on different drinks each day.
- Sowiso / Oceans
  Typical student-inn.

[Hotels]
- Leonardo Hotel Aachen
- Hostel Aachen
  Close to the city centre.
- Pullman Aachen Quellenhof (from €130)
  Spacious, comfortable rooms (although some could do with a little redecoration), a swimming pool, fitness area and excellent breakfast buffet.
- Hotel Granus (Doubles from €90)
  This friendly family-run place has 12 rooms and a bit of a cosy B&B atmosphere. It's clean and conveniently located in the city centre, with fairly modern rooms and a somewhat quaint breakfast area. It gets good reviews, also suited for family stays. On weekends, the reception has limited opening hours.
- Youth hostel Aachen"
"Aachen","I would like to travel from Dalian to Aachen for 5 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Elisa Fountain
  Built 1827, thermal waters of the spa town.
- Grashaus
  Original town hall, completed in 1267, is one of the oldest buildings in Aachen.
- Belvedere rotating water tower
  Park above the town.
- Haus Löwenstein
  14th century building

[Activities]
- Lousberg
  A recreational area situated just north of the city centre that offers stunning views of the city below.
- Carolus Thermen
  Large and very well known spa, sauna and wellness place.

[Shops]
- Jakobstraße
  Smaller shops and boutiques.
- Großkölnstraße
  The second big pedestrian zone shopping area in Aachen, where you´ll find clothing and more.
- Adalbertstraße
  Multiple shops and cafes in one of Aachen's pedestrian zone shopping areas.

[Restaurants]
- Knossos
  Greek restaurant frequented mostly by students.
- Bacchus
  Great Greek Restaurant with a wide variety of dishes. Absolutely recommendable Gyros and Grill dishes
- Maranello
  Italian Pizza from a real stone oven.
- Pont Grill
  Very cheap and good Chicken, Pizza and Turkish food.

[Bars]
- Buddha Bar
  Nice food, has a non-smoking area upstairs with restaurant and bar plus a cool smoking area downstairs with an impressive Buddha statue.
- Sowiso / Oceans
  Typical student-inn.
- Guinness House
  A stereotypical Irish Pub, just like you'd find in any other big city. However, it's one of the few places in Aachen that sells cider, so it's definitely worth checking out if beer isn't your thing! There's also live music (more often that not traditional Irish music) here on a regular basis.

[Hotels]
- Leonardo Hotel Aachen
- Pullman Aachen Quellenhof (from €130)
  Spacious, comfortable rooms (although some could do with a little redecoration), a swimming pool, fitness area and excellent breakfast buffet.
- Youth hostel Aachen"
"Aachen","I would like to travel from Montgomery to Aachen for 6 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Zollmuseum Friedrichs (Phone To Reserve)
  Museum about border crossings and the border
- Grashaus
  Original town hall, completed in 1267, is one of the oldest buildings in Aachen.
- Aachen Christmas Market (Free entry)
  From late November until 23 December, Aachen's Christmas market takes over Katschhof, Münsterplatz and the market square. Traders offer a wide variety of gift ideas, such as cosmetics, jewellery and ceramics, and there are plenty of opportunities to eat and drink your fill - a trip here wouldn't be complete without a glass of ''Glühwein''! If you need a break, take in a performance at the rear of the town hall (see the website for a detailed programme). The market looks particularly spectacular when lit up at night, set against the magnificent cathedral and town hall.
- Rathaus
  The medieval town hall. The mayor of Aachen still has their office in there.

[Activities]
- Carolus Thermen
  Large and very well known spa, sauna and wellness place.
- Lousberg
  A recreational area situated just north of the city centre that offers stunning views of the city below.

[Shops]
- Jakobstraße
  Smaller shops and boutiques.
- Adalbertstraße
  Multiple shops and cafes in one of Aachen's pedestrian zone shopping areas.
- Krämerstraße and Market
  Small shops in a very touristic area.
- Lindt Factory Outlet
  Stocks a wide range of Lindt chocolate products, at low prices, which have been produced in the neighbouring factory.

[Restaurants]
- Bacchus
  Great Greek Restaurant with a wide variety of dishes. Absolutely recommendable Gyros and Grill dishes
- Carlos I
  This Spanish restaurant offers authentic Spanish cuisine like Tapas, the perfect food for sharing, Paella etc. at medium prices
- Maredo
  Delicious Argentinian food chain based in Germany. Good food, not expensive. Open late and offer late-night specials as well as lunch specials.

[Bars]
- Guinness House
  A stereotypical Irish Pub, just like you'd find in any other big city. However, it's one of the few places in Aachen that sells cider, so it's definitely worth checking out if beer isn't your thing! There's also live music (more often that not traditional Irish music) here on a regular basis.
- Cafe Madrid
  Pub/Bar better for an older crowd, posher, near Ponttor.
- Pontgarten
  Cheap Cocktails and nice food.

[Hotels]
- Hotel Granus (Doubles from €90)
  This friendly family-run place has 12 rooms and a bit of a cosy B&B atmosphere. It's clean and conveniently located in the city centre, with fairly modern rooms and a somewhat quaint breakfast area. It gets good reviews, also suited for family stays. On weekends, the reception has limited opening hours.
- Pullman Aachen Quellenhof (from €130)
  Spacious, comfortable rooms (although some could do with a little redecoration), a swimming pool, fitness area and excellent breakfast buffet.
- Hostel Aachen
  Close to the city centre.
- Leonardo Hotel Aachen
- Youth hostel Aachen"
"Abu Dhabi","I would like to travel from Grand Rapids to Abu Dhabi for 3 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Yas Island
  is an essential location that should be on every tourist's bucket list. It has a Ferrari race track, Ferrari World (a Ferrari-themed park home to the fastest roller coaster in the world), Yas Waterworld, a shopping mall and a hotel.
- Corniche
  Abu Dhabi's spectacular waterfront stretches for miles from the Breakwater near Marina Shopping Mall almost up to the Mina Zayed port. It has a walkway for the entire length, and certain stretches have sandy beaches. There are also many activities like go-cart riding, playgrounds and even stages for shows. All this against a backdrop of the impressive towers of downtown Abu Dhabi. Come in the evening and you feel as if the whole of Abu Dhabi have come here for their evening walk.
- Qasr al-Hosn
  The oldest stone building in Abu Dhabi, this small fort was first constructed in 1761 and served as the royal palace from the late 18th century until 1966. The site is currently surrounded by boards, and the building itself is not open to the public.

[Activities]
- Abu Dhabi Grand Prix
  Watch a formula one race. It is the second Grand Prix arena after Bahrain and was open in the year 2009.

[Shops]
- Al Wahda Mall
  a large, modern mall. Stores are high-end, the food court is extensive, and the LuLu Hypermart in the basement is probably the largest grocery and dry goods store in, well, anywhere.
- Abu Dhabi Mall
  a three story shopping mall
- Khalidiya Mall
  Khalidiya mall is a nice place to visit. The droll fashion stores may grip you for maybe several seconds, but then the obvious lack of things to do kicks in. However, the food court is popular, alongside New York Fries, Chili's and a Dunkin' Donuts + Baskin Robbins. Downstairs there is an extortionate Krispy Kreme and Starbucks, and a what looks to be an Indian/Arabian cuisine restaurant, which seems good but looks to be unpopular.

[Restaurants]
- The Olive Branch
  Mafraq’s all day restaurant serves up fresh Mediterranean cuisine borrowing influence from various regions, including France, Spain and Turkey. The buffet is prepared with the freshest of ingredients and the interior décor is equally breezy and funky.
- Anand Vegetarian Restaurant (Dhs.10 per person Eat all you can and various)
  This is a pure veg Gujarati (North Indian) style restaurant. The demand for Puri Bhaji (a deep fried bread and Potato and Chick Pea veg dish) is so great that you will have to wait your turn but it's worth it. There is a special part for ladies and families. Friday lunch with sweets and as much Puri as you want for only at Dhs 12.  Sometimes you will have to wait for 10 mins to get a roti.
- Al Safadi (Dh 50)
  In an older building in one of the older and more walkable parts of Abu Dhabi, Al Safadi is a Lebanese gem for Shawarma: both lamb and chicken. Shawarma sandwiches for 5 AED each. Each entree comes with a huge plate of greens, pickles, peppers and Lebanese bread.

[Bars]
- arkadia (50 dhs below)
  one of the hottest club in town,just check it out and you'll surely enjoy your night with their resident band """"wired to the floor"""" and dj onnie.
- 'Left Bank
  a popular and lively spot. It serves a wide range of interesting cocktails (try the pineapple-ginger collins) as well as nicely prepared and presented meals. They are still new so they are trying a little harder right now, and the service tends to be pretty good. Worth the 15 to 20-minute trip out of the downtown core.
- The Captain's Arms
  Traditional British pub located in the hotel courtyard. The pub features traditional food and a great selection of beer on tap. The large terrace is great during the cooler months of the year. A typical hang-out for the expat crowd, but try to get there early, as it attracts a large after-work crowd.
- Wakataua Terrace
  a Polynesian-themed cocktail bar located at the far end of the courtyard, right on the water. The cocktails are amazing. The Navy Grog is highly recommended. It has a nice view at night, over the water.
- Hemingway's
  The main restaurant has a good tex-mex menu, a wide selection of beer on tap and features live music in the evening. '''Jazz Bar''' - The second venue, has great food and a good jazz band. The band normally changes every six months or so, but the quality is consistent and they take requests. The bartenders normally put on a show by tossing bottles around while mixing a mean cocktail. The third place is '''Cinnabar''', a nightclub that normally gets going after midnight, although it can be a nice place for a quiet drink early in the evening, even though bartenders there can be rude. The music is mostly house/club, although they have a salsa night.

[Hotels]
- Park Inn Abu Dhabi Yas Island (Dhs. 550)
  Recently opened hotel with clean rooms, excellent service and friendly staff. The restaurant is a great option for dinner.
- Beach Rotana Hotel and Towers
  Marble everywhere sums it up. The Club rooms are worth it if you are having to pay full rates for the classic rooms in the main older hotel. They are not much bigger but the use of the Club lounge is valuable if you are going to be in the hotel a lot and the TV arrangements are more modern, the view wide. It now looks over the hectic construction on the new artificial islands across the creek.
- InterContinental Abu Dhabi (US$150-400)
  One of the long-time prestige hotels. Expensive but occasional Internet deals on the hotel independent booking websites are worth it if you are willing to pay upfront online. The lobby is huge and recently renovated. Rooms seem a little 80s with their decor (way too many mirrors) but beds are comfortable and the views are nice. Gym and fine (but expensive) restaurants. Abu Dhabi locals frequent the hotel piano lounge and the Brazilian restaurant. It is somewhat remote from the centre of town but the setting and amenities are worth it.
- The Yas Hotel
  Set half on land and half on water, overlooking the marina, and positioned on the Yas Marina Circuit, which plays host the annual Formula One Etihad Airways Abu Dhabi Grand Prix, this hotel is distinctive. The exterior's gridshell can be seen for miles around and mimics the throw of a local fishing net. Fourteen total restaurants and lounges.
- Novotel Centre Hotel Abu Dhabi
  Adequate rooms but inadequate and expensive breakfast in a tower block. Reception is cramped and lacks style. The lifts (elevators) are very slow. You pay for internet access. Only the cheerful staff and, if relevant to you, the central location redeem the place. The Chinese restaurant is said to be good, too."
"Abu Dhabi","I would like to travel from Kawasaki to Abu Dhabi for 5 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Corniche
  Abu Dhabi's spectacular waterfront stretches for miles from the Breakwater near Marina Shopping Mall almost up to the Mina Zayed port. It has a walkway for the entire length, and certain stretches have sandy beaches. There are also many activities like go-cart riding, playgrounds and even stages for shows. All this against a backdrop of the impressive towers of downtown Abu Dhabi. Come in the evening and you feel as if the whole of Abu Dhabi have come here for their evening walk.
- Reem Island
  It is expected that, by the time it is completed, it will be a residential, commercial and educational haven. Even though construction is ongoing, the island is still largely empty, especially on the far side.
- Lulu Islands
  a group of artificial islands, already built just offshore at great expense, but currently sitting there doing absolutely nothing after a tourism venture failed to even start construction.
- Qasr al-Hosn
  The oldest stone building in Abu Dhabi, this small fort was first constructed in 1761 and served as the royal palace from the late 18th century until 1966. The site is currently surrounded by boards, and the building itself is not open to the public.

[Activities]
- Abu Dhabi Grand Prix
  Watch a formula one race. It is the second Grand Prix arena after Bahrain and was open in the year 2009.

[Shops]
- Boutik
  A mall with still many empty spaces to be filled, but it already has a supermarket, cafe, restaurant, and a playground, among others.
- Khalidiya Mall
  Khalidiya mall is a nice place to visit. The droll fashion stores may grip you for maybe several seconds, but then the obvious lack of things to do kicks in. However, the food court is popular, alongside New York Fries, Chili's and a Dunkin' Donuts + Baskin Robbins. Downstairs there is an extortionate Krispy Kreme and Starbucks, and a what looks to be an Indian/Arabian cuisine restaurant, which seems good but looks to be unpopular.
- Marina Mall
  boasts a musical fountain and ceilings that thunder and rain

[Restaurants]
- The Burlington Grill
  The hotel’s signature grill restaurant serves up succulent grilled meat and seafood steaks. The red leather interior, coupled with a show kitchen delivers a treat for all the senses. Choose from an array of starters and salads including crab cakes and goats cheese tartlets, dig into American-style Louisiana fish gumbo, or choose an al dente risotto. The main event brings a hefty offering of grilled fish, rack of lamb and meaty steaks complemented by a selection of daily chef’s specials. Has al fresco dining on the terrace and an aperitif bar.
- Cettinad Restaurant
  Authentic Chettinad food available at reasonable price. Also serving North Indian,Chinese,Tandoor and Mughalai food. Both vegetarian and non vegetarian foods are available. Cettinad Restaurant branch is next to the taxi station flyover traffic light, on the back isde of Brightway advertisement building, +971 24454331, +971 2 4454332
- Oasis Courtyard
  This poolside bar and restaurant serves drinks under the sun and a wide selection of snacks. The swim-up bar in the pool offers refreshment. Shisha is also available.
- Rimal
  Rimal Asian fusion bar serves up oriental dishes in an authentic atmosphere with a modern edge. Taste the delicious flavors from Korea, China and Japan in this Asian inspired outlet, complete with Sake and signature cocktails.

[Bars]
- Havana Club
  The grand hotel is a must-see in Abu Dhabi and the actual club is nicely decorated, comfortable, has great service, a balcony overlooking the hotel grounds, and provides a fun time with great music and very colorful laser shows.
- Harvesters Pub
  great English pub, free pool, dart boards, multiple screens showing sports, excellent fish and chips as well as other English style meals, friendly staff, English band every night except Sundays, quiz nights every Tuesday and possibly the cheapest beer in town.
- Mardi Gras
  a small restaurant/bar. Its ambiance reminds one of a spa. The service is good, the drinks are reasonable, and the food is tasty. The band often leaves much to be desired, and the DJ is worse.
- 'Left Bank
  a popular and lively spot. It serves a wide range of interesting cocktails (try the pineapple-ginger collins) as well as nicely prepared and presented meals. They are still new so they are trying a little harder right now, and the service tends to be pretty good. Worth the 15 to 20-minute trip out of the downtown core.

[Hotels]
- The Yas Hotel
  Set half on land and half on water, overlooking the marina, and positioned on the Yas Marina Circuit, which plays host the annual Formula One Etihad Airways Abu Dhabi Grand Prix, this hotel is distinctive. The exterior's gridshell can be seen for miles around and mimics the throw of a local fishing net. Fourteen total restaurants and lounges.
- Aloft (US$90-200)
  Trendy hotel with cool dark colors, attractive young hotel desk clerks, relatively small rooms (beds are comfortable though), good restaurant and lobby bar, fantastic outdoor lounge on the roof, and half-empty disco next door. Great if there's a convention, but it's walkable to nothing else. Car or taxi is needed to get just about anywhere. Maybe when the nearby residential/commercial development is ready in a few years, it might be more desirable. 4 star with few amenities (you bring your own bags to the room), but there is still a definite sense of style.
- Radisson Blu Abu Dhabi
  Overlooks the Golf Course and F1 Circuit. It has 397 rooms comprising of suites and business class. All day dining restaurant, Italian restaurant, Persian restaurant, Lobby bar, and pool bar.
- InterContinental Abu Dhabi (US$150-400)
  One of the long-time prestige hotels. Expensive but occasional Internet deals on the hotel independent booking websites are worth it if you are willing to pay upfront online. The lobby is huge and recently renovated. Rooms seem a little 80s with their decor (way too many mirrors) but beds are comfortable and the views are nice. Gym and fine (but expensive) restaurants. Abu Dhabi locals frequent the hotel piano lounge and the Brazilian restaurant. It is somewhat remote from the centre of town but the setting and amenities are worth it.
- Le Meridien Abu Dhabi
  Tell the taxi driver """"Lee Meridien"""" and he will not confuse it with Royal Meridien. Best amenity is the Meridien Village, an outdoor garden filled with restaurants and pubs, and on Thursday nights during the cooler months, a hangout for literally thousands of expats. Slated to be replaced by a bridge to Suwwah Island financial district, so enjoy while you can."
"Abu Dhabi","I would like to travel from Reims to Abu Dhabi for 5 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Yas Island
  is an essential location that should be on every tourist's bucket list. It has a Ferrari race track, Ferrari World (a Ferrari-themed park home to the fastest roller coaster in the world), Yas Waterworld, a shopping mall and a hotel.
- Reem Island
  It is expected that, by the time it is completed, it will be a residential, commercial and educational haven. Even though construction is ongoing, the island is still largely empty, especially on the far side.
- Sheikh Zayed Grand Mosque (free)
  The 8th largest mosque in the world. On Fridays, it is closed to the public and open only for worshippers. You can get there by public bus (bus 54). Make sure to ask the bus driver to let you know once you get there. The public bus stop is 100 meters ''before'' the mosque and after that is no stop for the next 5 km. The Mosque Centre offers several free tours through the mosque every day. Times vary on a daily basis, so check the homepage. As it is a place for worshippers, dress conservatively. In particular, women need to cover their head, and if they have sandals, also their ankles. Appropriate black dress is available at the mosque. You will avoid the need to queue for the clothing if you wear solid shoes, a long dress or long pants, and take a scarf to cover your head/hair. Clothing is also available for men, but will likely be unnecessary. Even when taking photos outside the mosque, women who are inappropriately dressed will be challenged by security.

[Activities]
- Abu Dhabi Grand Prix
  Watch a formula one race. It is the second Grand Prix arena after Bahrain and was open in the year 2009.

[Shops]
- Marina Mall
  boasts a musical fountain and ceilings that thunder and rain
- Al Wahda Mall
  a large, modern mall. Stores are high-end, the food court is extensive, and the LuLu Hypermart in the basement is probably the largest grocery and dry goods store in, well, anywhere.
- Yas Mall
  Opened in 2014 next to Ferrari World on Yas Island. This is the biggest mall in Abu Dhabi and the 16th biggest mall in the world.It has the first Lego store in the UAE. It is connected to Ferrari World.
- Boutik
  A mall with still many empty spaces to be filled, but it already has a supermarket, cafe, restaurant, and a playground, among others.
- Abu Dhabi Mall
  a three story shopping mall

[Restaurants]
- Rimal
  Rimal Asian fusion bar serves up oriental dishes in an authentic atmosphere with a modern edge. Taste the delicious flavors from Korea, China and Japan in this Asian inspired outlet, complete with Sake and signature cocktails.
- Anand Vegetarian Restaurant (Dhs.10 per person Eat all you can and various)
  This is a pure veg Gujarati (North Indian) style restaurant. The demand for Puri Bhaji (a deep fried bread and Potato and Chick Pea veg dish) is so great that you will have to wait your turn but it's worth it. There is a special part for ladies and families. Friday lunch with sweets and as much Puri as you want for only at Dhs 12.  Sometimes you will have to wait for 10 mins to get a roti.
- Oasis Courtyard
  This poolside bar and restaurant serves drinks under the sun and a wide selection of snacks. The swim-up bar in the pool offers refreshment. Shisha is also available.
- Hunter’s B&R
  A modern bar with green brick walls, solid wood tables and numerous flat screen TVs showing sports. God for after work drinks, or an evening with friends, Hunter’s B&R offers a casual environment with a social buzz.

[Bars]
- Havana Club
  The grand hotel is a must-see in Abu Dhabi and the actual club is nicely decorated, comfortable, has great service, a balcony overlooking the hotel grounds, and provides a fun time with great music and very colorful laser shows.
- 49ers
  is a steakhouse/bar. It is often quoted as """"More of a meat market than a steakhouse"""" because of its solid reputation for prostitution. I would not recommend a non-prostitute woman going there. It is uncomfortable and the men in the bar will probably assume you are for sale. The Novotel Hotel and The Sands Hotel are also notorious for their nightclubs that men frequent when looking to purchase a date for the night.
- Rock Bottom
  one of the most popular night club locations in all of Abu Dhabi. It stays open later than most venues, and is cheaper. If you get there early enough, they have decent food you can enjoy in the restaurant area. They have both a live band and an excellent DJ, along with black lights and lasers. There is even a hot dog stand later in the night, providing some delicious drunk snacks. Thur nights can get extremely crowded, be warned.
- Lebinese Flower
  Great food and nice atmosphere.
- Heroes
  is a friendly sports grill/bar. Located in The Crowne Hotel's basement, it offers reasonable meals, and fair drink prices. The bar is often full of men and women watching various sports games on television. Later at night they have a DJ and a live band that play softer rock songs. It is a pleasant place to hang out with friends, though the lack of windows or ventilation can make it stuffy and smoke-filled quickly.

[Hotels]
- Grand Continental Flamingo (Dhs. 200)
  This is the hotel the taxis cannot find. A 2 story atrium, quiet setting, rooms with bidet, bath and over-bath shower and wide screen TVs all contribute to a pleasant stay. Only the dimness of the lighting and the overdone carpets in the room lets it down. The bath towels are also a bit small.
- Emirates Palace (Rates start at AED 970)
  Built at an estimated cost of US$3 billion, this was by many accounts the world's most expensive hotel to build, with oodles of gold and marble plating every available surface. The scale of everything is gargantuan &mdash; you need directions just to find your way from the gate to the lobby. The hotel feels like it's straight out of Las Vegas, minus the slot machines. To visit the Palace, you will need a reservation for a restaurant or bar of the hotel.
- Park Inn Abu Dhabi Yas Island (Dhs. 550)
  Recently opened hotel with clean rooms, excellent service and friendly staff. The restaurant is a great option for dinner.
- Novotel Centre Hotel Abu Dhabi
  Adequate rooms but inadequate and expensive breakfast in a tower block. Reception is cramped and lacks style. The lifts (elevators) are very slow. You pay for internet access. Only the cheerful staff and, if relevant to you, the central location redeem the place. The Chinese restaurant is said to be good, too."
"Adana","I would like to travel from Lincoln to Adana for 5 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Old Town and the Clock Tower
- Sabancı Mosque
  One place you should not miss while in Adana. The mosque was built in 1999 and is the largest mosque in Turkey.
- Ethnographic Museum of Adana
  Closed for renovation.

[Restaurants]
- Hasan Kolcuoglu
- Cafe Ora
  Has a bar on second floor. You can have a ''bici bici'' (traditional Adana sweet) for TRY3 there.
- Adana Kebab
  Delicious and famous '''Adana kebap''' and mezzes, usually accompanied by '''''salgam''''' (turnip) juice and/or ''raki'' (traditional Turkish alcoholic drink).

[Bars]
- The North Shield
  Generally a quiet atmosphere that is good to take a few friends to.
- Nargile Bar
  A down-tempo place. This is more for the young working class. Many of the patrons are between 20-30, and for the most part are out of university.  Live Turkish music is played here almost every night, and Tuborg Green can be bought on tap for TRY4.50 TL a pint.
- Pickup Rock Bar
  Downstairs in the Cemalpasa area, this bar usually has live Turkish bands covering American rock on weekends. Closed early in the week, on the days that it is open, you can get in until late in the morning. Crowds usually start showing up around 23:30, the time the band starts playing. Efes on tap can be bought here for TRY6 a pint.

[Hotels]
- Konya Hotel (TRY20 non-air-con, TRY30 for rooms with air-con)
  If you insist, they can give you a cheaper, small room. The rooms are clean but there is no heater.
- Hilton Adana (€100+)
  The tallest building in town. Looks quite strange in a not that big town to have such a huge Hilton Hotel.
- Garajlar Hotel (TRY15)
  You will have to pay extra for the bath (TRY5)."
"Adana","I would like to travel from Limoges to Adana for 6 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Seyhan Dam, Love Island, & American Island
- State Fine Arts Gallery
- Central Park

[Restaurants]
- Cafe Ora
  Has a bar on second floor. You can have a ''bici bici'' (traditional Adana sweet) for TRY3 there.
- Adana Kebab
  Delicious and famous '''Adana kebap''' and mezzes, usually accompanied by '''''salgam''''' (turnip) juice and/or ''raki'' (traditional Turkish alcoholic drink).
- Kazancilar

[Bars]
- Pickup Rock Bar
  Downstairs in the Cemalpasa area, this bar usually has live Turkish bands covering American rock on weekends. Closed early in the week, on the days that it is open, you can get in until late in the morning. Crowds usually start showing up around 23:30, the time the band starts playing. Efes on tap can be bought here for TRY6 a pint.
- The North Shield
  Generally a quiet atmosphere that is good to take a few friends to.
- Istanbul Bar
  A cool, chill out bar with groovy music with a wide selection of unusual but fun cocktails! Open until the last customer leaves.

[Hotels]
- Konya Hotel (TRY20 non-air-con, TRY30 for rooms with air-con)
  If you insist, they can give you a cheaper, small room. The rooms are clean but there is no heater.
- Hilton Adana (€100+)
  The tallest building in town. Looks quite strange in a not that big town to have such a huge Hilton Hotel.
- Garajlar Hotel (TRY15)
  You will have to pay extra for the bath (TRY5)."
"Adana","I would like to travel from Colombo to Adana for 4 days. Please create a day by day itinerary.","[Context]
[Attractions]
- Atatürk Museum
- Archaeological Museum of Adana (Free)
  Re-opened for visits after restoration (except for stone monuments section, still being restored).
- Old Dam and Dilberler Seki Road
- Sabancı Mosque
  One place you should not miss while in Adana. The mosque was built in 1999 and is the largest mosque in Turkey.

[Restaurants]
- Sercan
- Mado's
  Sweet shop. Higher class than your regular street vendor and a little pricey, but delicious food. You should eat special Turkish ice cream.
- Yüzevler
- Cafe Ora
  Has a bar on second floor. You can have a ''bici bici'' (traditional Adana sweet) for TRY3 there.

[Bars]
- Istanbul Bar
  A cool, chill out bar with groovy music with a wide selection of unusual but fun cocktails! Open until the last customer leaves.
- Nargile Bar
  A down-tempo place. This is more for the young working class. Many of the patrons are between 20-30, and for the most part are out of university.  Live Turkish music is played here almost every night, and Tuborg Green can be bought on tap for TRY4.50 TL a pint.
- Starbucks
  There are 4 Starbucks Coffee shops in Adana, in addition to one in Incirlik. The one on Ziyapaşa is a popular hangout for expatriates and English-speaking Turks.

[Hotels]
- Hilton Adana (€100+)
  The tallest building in town. Looks quite strange in a not that big town to have such a huge Hilton Hotel.
- Garajlar Hotel (TRY15)
  You will have to pay extra for the bath (TRY5).
- Konya Hotel (TRY20 non-air-con, TRY30 for rooms with air-con)
  If you insist, they can give you a cheaper, small room. The rooms are clean but there is no heater."
"Addis Ababa","I would like to travel from Kosice to Addis Ababa for 6 days. Please create a day by day itinerary.","[Context]
[Attractions]
- St George's Cathedral
  Built in 1896 to commemorate Ethiopia's victory over the Italians. The cathedral is a octagonal building. As you walk around it, you will notice people praying beside the walls, but it is unlikely that you will find an entrance. The Cathedral houses a small museum and close to it you will likely meet one of the archdeacons of the Cathedral. If he offers to be a guide, take his offer and visit the Cathedral with him. The interior is beautifully decorated with huge paintings and mosaics, and will make the trip worthwhile. It is worth visiting the museum with a guide as well to see ceremonial clothes and ancient manuscripts.
- Lion of Judah of Haile Selassie
  A carved statue commemorating the silver jubilee of Emperor Haile Selassie in 1955.
- Anwar Mosque
  It's quite impressive.
- Lion of Judah of Menelik
  Commemorates Emperor Menelik. It was erected in 1930 and looted by the Italians a few years later. It remained in Rome for 30 years before being returned in the 1960s.

[Activities]
- Fendika Azmari Bet
  Music, song and dance including including a traditional ''azmari'' minstrel.
- Yewedale
  Performances by traditional ''azmari'' minstrels.

[Shops]
- Lafto Mall (none)
  This is a multi-purpose mall consisting of a grocery store, numerous places to buy clothes and toys, a liquor store, and a mobile phone store. This mall has several levels each with a number of small rooms selling goods. Lafto also consists of a large outdoor swimming pool.

[Restaurants]
- Liquid Lounge
  A two-story establishment focusing on Asian food, including stir-fry and sushi in the evenings (salmon and tuna only, and it is not as fresh as the Sheraton). The a la carte menu offers a few burgers, sandwiches and other lunch items. In the evenings, it becomes a booming club, with excellent dance music and a relatively sophisticated middle-class young crowd. Very trendy, and has VIP areas upstairs. On the weekends it gets busy.
- 2000 Habesha Cultural Restaurant
  One of Addis Ababa's famous cultural restaurants, it has traditional singing and dancing at night. If you're feeling brave, try the ''gored gored'' (cubes of heavily salted and spiced raw beef). Waiters are well mannered and kind, and most are very talented dancers. Features a large buffet with many kinds of wat/wot (Ethiopian stew), injera, shiro, vegetables, and other dishes. Their """"fasting"""" menu (meatless or vegan dishes typically served to religiously observant diners) is excellent and will satisfy most vegetarians and vegans. The old restaurant at the south end of EU Rd near Bole Rd was demolished for road construction in 2012.
- La Mandoline
  Delicious French cuisine. Great outdoor seating area. Breakfast on weekends.
- Antica
  Decent pizza, and one of the only delivery services available in Addis that does not require bulk orders. Pizza tends to arrive cold.

[Bars]
- Illusion
  Dance till 05:00. Very crowded on weekends, yet that adds to its charm.
- Kaldi's Coffee
  This is a coffee shop similar in many aspects to Starbucks. Kaldis has 22 locations around the city and sell a a variety of products including coffee, tea, burgers, sandwiches, juice and pancakes.
- Black Rose
  The energetic atmosphere is dark yet comfortable and fashionable, and the bar serves a variety of drinks. Live jazz jam session every Th night.

[Hotels]
- Yordanos Hotel
  Haile Gebresilassie Rd.
- Worku Bikila Hotel
  Dukem, (''about 20&nbsp;km south-west of Addis Ababa''), Thriving hotel for budget to mid-range travellers.
- Addis Ababa Hilton
  Airline agents, money changing, restaurant, bar, gym, sauna, swimming pool, internet access."
