title,prompt,response
Abbotsford,Help me plan a 4-day itinerary for my trip from Brussels to Abbotsford.,"[Context]
[Activities]
- Lotusland Vineyards tasting & tour (Tasting $2/person, tour+tasting $10/person)
  Grape and fruit wines, made from organic local fruit. Previously known as """"A'Very Fine Winery"""", playing on the names of the owners, Liz and David Avery. Book winery tours 1-2 weeks in advance for groups of 6 or more. Tasting fees waived with purchase.
- Abbotsford International Air Show ($25/person, up to maximum $80/vehicle)
  Held the second weekend in August, it attracts visitors from all over the world. Flight demonstrations primarily by Canadian and US craft. Static displays of aircraft, Canadian Forces units, and local police and RCMP detachments.

[Restaurants]
- Q Steakhouse (Dinner entrées $20-35)
  Contemporary cuisine. A menu long on steaks and high-end cooking, overseen by Certified Chef de Cuisine (CCC) Mike Dicks. Successor to Quazines.
- Restaurant 62
  Executive Chef Jeff Massey (former restaurant Chef of """"Coast"""" seafood restaurant in Yaletown and also Cioppino's) prepares a variety of dishes utilizing local ingredients. Fraser Valley duck duo, pan seared breast of duck over local vegetables with handpicked blackberry jus and confit of duck leg over pistachio whipped potatoes. Restaurant 62 also boasts an award-winning wine list with over 200 selections from around the world, and 20 single and blended malts
- Dragon Fort
  Fantastic Chinese place with excellent lunch specials.

[Bars]
- Duke of Dublin Irish Pub
  A cozy Irish pub in the centre of town, the Duke is a great place to grab a few drinks with friends. They often feature live music too.
- Airfare Lounge
  Great small bar in the middle of downtown Abbotsford, open seven days a week. Drink specials start at $2, and there is often live music (every Wednesday local band Harma White puts on a fantastic show).

[Hotels]
- Casa Jolo B&B
  Conveniently located near Highway #1 is a charming place for stay. Attractive packages for guests.
- Columbia Bible College
  For budget travellers, Columbia Bible College offers its '''dorms''' for overnight accommodation from May through August.
- Sweet Dreams Luxury Inn
  Abbotsford, British Columbia, just south of Highway #1. Beautiful location whose ratings go beyond the """"Stars"""". Innkeepers Dorothy and Friesen, go out of their way to provide a place of tranquility and luxurious comfort that will truly give you """"sweet dreams""""."
Abbotsford,Design a detailed 4-day travel itinerary for a trip from Calgary to Abbotsford.,"[Context]
[Activities]
- Lotusland Vineyards tasting & tour (Tasting $2/person, tour+tasting $10/person)
  Grape and fruit wines, made from organic local fruit. Previously known as """"A'Very Fine Winery"""", playing on the names of the owners, Liz and David Avery. Book winery tours 1-2 weeks in advance for groups of 6 or more. Tasting fees waived with purchase.
- Abbotsford International Air Show ($25/person, up to maximum $80/vehicle)
  Held the second weekend in August, it attracts visitors from all over the world. Flight demonstrations primarily by Canadian and US craft. Static displays of aircraft, Canadian Forces units, and local police and RCMP detachments.

[Restaurants]
- Dragon Fort
  Fantastic Chinese place with excellent lunch specials.
- Restaurant 62
  Executive Chef Jeff Massey (former restaurant Chef of """"Coast"""" seafood restaurant in Yaletown and also Cioppino's) prepares a variety of dishes utilizing local ingredients. Fraser Valley duck duo, pan seared breast of duck over local vegetables with handpicked blackberry jus and confit of duck leg over pistachio whipped potatoes. Restaurant 62 also boasts an award-winning wine list with over 200 selections from around the world, and 20 single and blended malts
- Q Steakhouse (Dinner entrées $20-35)
  Contemporary cuisine. A menu long on steaks and high-end cooking, overseen by Certified Chef de Cuisine (CCC) Mike Dicks. Successor to Quazines.

[Bars]
- Duke of Dublin Irish Pub
  A cozy Irish pub in the centre of town, the Duke is a great place to grab a few drinks with friends. They often feature live music too.
- Airfare Lounge
  Great small bar in the middle of downtown Abbotsford, open seven days a week. Drink specials start at $2, and there is often live music (every Wednesday local band Harma White puts on a fantastic show).

[Hotels]
- Coast Abbotsford Hotel & Suites
- Columbia Bible College
  For budget travellers, Columbia Bible College offers its '''dorms''' for overnight accommodation from May through August.
- Casa Jolo B&B
  Conveniently located near Highway #1 is a charming place for stay. Attractive packages for guests.
- Super 8 Abbotsford
  Offers 99 rooms,58 in the new hotel addition,and 41 in the motel section. All with fridges and microwaves. Kitchen suites, Indoor Waterslide/pool, free breakfast included. Surrounded by several restaurants and shopping. Children 17 and under free with accompanying adult."
Abbotsford,Help me plan a 7-day itinerary for my trip from Madrid to Abbotsford.,"[Context]
[Activities]
- Abbotsford International Air Show ($25/person, up to maximum $80/vehicle)
  Held the second weekend in August, it attracts visitors from all over the world. Flight demonstrations primarily by Canadian and US craft. Static displays of aircraft, Canadian Forces units, and local police and RCMP detachments.
- Lotusland Vineyards tasting & tour (Tasting $2/person, tour+tasting $10/person)
  Grape and fruit wines, made from organic local fruit. Previously known as """"A'Very Fine Winery"""", playing on the names of the owners, Liz and David Avery. Book winery tours 1-2 weeks in advance for groups of 6 or more. Tasting fees waived with purchase.

[Restaurants]
- Q Steakhouse (Dinner entrées $20-35)
  Contemporary cuisine. A menu long on steaks and high-end cooking, overseen by Certified Chef de Cuisine (CCC) Mike Dicks. Successor to Quazines.
- Restaurant 62
  Executive Chef Jeff Massey (former restaurant Chef of """"Coast"""" seafood restaurant in Yaletown and also Cioppino's) prepares a variety of dishes utilizing local ingredients. Fraser Valley duck duo, pan seared breast of duck over local vegetables with handpicked blackberry jus and confit of duck leg over pistachio whipped potatoes. Restaurant 62 also boasts an award-winning wine list with over 200 selections from around the world, and 20 single and blended malts
- Dragon Fort
  Fantastic Chinese place with excellent lunch specials.

[Bars]
- Airfare Lounge
  Great small bar in the middle of downtown Abbotsford, open seven days a week. Drink specials start at $2, and there is often live music (every Wednesday local band Harma White puts on a fantastic show).
- Duke of Dublin Irish Pub
  A cozy Irish pub in the centre of town, the Duke is a great place to grab a few drinks with friends. They often feature live music too.

[Hotels]
- Columbia Bible College
  For budget travellers, Columbia Bible College offers its '''dorms''' for overnight accommodation from May through August.
- Super 8 Abbotsford
  Offers 99 rooms,58 in the new hotel addition,and 41 in the motel section. All with fridges and microwaves. Kitchen suites, Indoor Waterslide/pool, free breakfast included. Surrounded by several restaurants and shopping. Children 17 and under free with accompanying adult.
- Sweet Dreams Luxury Inn
  Abbotsford, British Columbia, just south of Highway #1. Beautiful location whose ratings go beyond the """"Stars"""". Innkeepers Dorothy and Friesen, go out of their way to provide a place of tranquility and luxurious comfort that will truly give you """"sweet dreams"""".
- Casa Jolo B&B
  Conveniently located near Highway #1 is a charming place for stay. Attractive packages for guests."
Abidjan,I need a 7-day itinerary with the best attractions for my journey from Caracas to Abidjan.,"[Context]
[Attractions]
- Cocody Municipal Museum of Contemporary Art
- St Paul's Cathedral
- Banco National Park
  A 30.00 km² national park just north of Abidjan featuring many tropical rare woods (mahogany, avodirés, waffle wood and more). There are several walking paths and popular for trekking.
- National Library of Côte d'Ivoire

[Restaurants]
- Saarkan (6000-12000 CFA)
  The restaurant serves Ivorien food with a modern feel. There is a full bar. The menu included a lighter vegetarian dish of tofu in peanut sauce with rice and spinach that was also inexpensive. Delivery is available through Hellofood, where the menu is also listed.
- Restaurant des Combattants
  Situated in a large colonial villa in the Plateau district, this popular restaurant features traditional African cuisine.
- Chez Georges Hollywood
  French and Italian dishes at French prices in a formal setting. Free Wi-Fi.

[Hotels]
- Pullman Abidjan
  Upscale waterfront hotel.
- Hôtel Tiama
  The best hotel by far in Abidjan, located in Plateau district next to Standard Chartered Bank."
Abidjan,Help me plan a 6-day itinerary for my trip from Warsaw to Abidjan.,"[Context]
[Attractions]
- National Library of Côte d'Ivoire
- Cocody Municipal Museum of Contemporary Art
- Banco National Park
  A 30.00 km² national park just north of Abidjan featuring many tropical rare woods (mahogany, avodirés, waffle wood and more). There are several walking paths and popular for trekking.

[Restaurants]
- Chez Georges Hollywood
  French and Italian dishes at French prices in a formal setting. Free Wi-Fi.
- Restaurant des Combattants
  Situated in a large colonial villa in the Plateau district, this popular restaurant features traditional African cuisine.
- Saarkan (6000-12000 CFA)
  The restaurant serves Ivorien food with a modern feel. There is a full bar. The menu included a lighter vegetarian dish of tofu in peanut sauce with rice and spinach that was also inexpensive. Delivery is available through Hellofood, where the menu is also listed.

[Hotels]
- Hôtel Tiama
  The best hotel by far in Abidjan, located in Plateau district next to Standard Chartered Bank.
- Pullman Abidjan
  Upscale waterfront hotel."
Abidjan,Can you suggest a detailed 6-day travel itinerary from Caracas to Abidjan?Can you create a 6-day itinerary with a total budget of $500 for traveling from Caracas to Abidjan?,"[Context]
[Attractions]
- St Paul's Cathedral
- Cocody Municipal Museum of Contemporary Art
- National Library of Côte d'Ivoire

[Restaurants]
- Chez Georges Hollywood
  French and Italian dishes at French prices in a formal setting. Free Wi-Fi.
- Restaurant des Combattants
  Situated in a large colonial villa in the Plateau district, this popular restaurant features traditional African cuisine.
- Saarkan (6000-12000 CFA)
  The restaurant serves Ivorien food with a modern feel. There is a full bar. The menu included a lighter vegetarian dish of tofu in peanut sauce with rice and spinach that was also inexpensive. Delivery is available through Hellofood, where the menu is also listed.

[Hotels]
- Hôtel Tiama
  The best hotel by far in Abidjan, located in Plateau district next to Standard Chartered Bank.
- Pullman Abidjan
  Upscale waterfront hotel."
Abiquiu,Create a 6-day travel itinerary from Amsterdam to Abiquiu with a moderate budget of $200-300 per day.,"[Context]
[Attractions]
- Georgia O'Keefe House
  The main home and studio of Georgia O'Keefe in Abiquiu. Open to the public on a reservation basis, you must book tours through the Georgia O'Keefe Museum in Santa Fe, online at the link provided. No walk-ins are allowed.
- Florence Hawley Ellis Museum of Anthropology (Admission by donation)
  Displays artifacts from ancient Paleo Indian cultures, including material excavated from sites on the Ghost Ranch property, as well as the work of local Native and Hispanic artists.
- Ruth Hall Museum of Paleontology ($4 adults, $3 seniors, $2 children)
  Ghost Ranch is noted in the paleontology community for being the site of one of the best-known sources of fossils from the Triassic period, when dinosaurs began to emerge on the planet. The fossils at this small but engaging museum reflect that legacy, including the skeleton of a ''Coelophysis'', one of the very first dinosaurs. There are also some interactive exhibits, as well as a huge block of dinosaur bones from the Ghost Ranch property that is being worked on in the middle of the museum.
- Ghost Ranch
  An education and spiritual retreat center owned by the Presbyterian Church, Ghost Ranch is a large complex of lodging and conference facilities situated amidst some spectacular red rock scenery. The complex is open to anyone, with a visitor center, a pair of museums, and several hiking trails leading into the surrounding country. Most notably, Georgia O'Keefe maintaned a summer home here starting in 1934, and later purchased a home in the village proper; however, O'Keefe's Ghost Ranch home is not open to the public. Guided hikes and horseback rides are offered.

[Activities]
- Christ in the Desert Monastery (Free)
  The Monastery is situated in a beautiful, quiet canyon in northwestern New Mexico, surrounded by miles of government-protected wilderness. The chief architect of the original monastery was George Nakashima, famous Japanese-American woodworker and architect. The church, meditation garden (next to the church), gift shop, and restrooms located in the lobby are open to the public. Visitors are welcomed.

[Shops]
- Bode's General Store
  A true general store since 1919. Also the last gas station going north until Cebolla. Variety of groceries, snacks, beer, wine and spirit. Organic frozen meats, selection of wines, large selection of cold beer and drinks. Cleaning and paper products, household and picnic needs. Also a '''cafe''' with fresh-brewed coffee, pastries, pies, muffins and cookies. They serve up breakfast in theAM, and burgers, burritos, frito pie, deli sandwiches and more for lunch. They also have beer on tap. After 3:30, they have a hot case with burritos and burgers, and a cold case with sandwiches and salads.

[Restaurants]
- Cafe Abiquiu
  On US 84;. An entertainingly eclectic menu with Southwestern and Mediterranean dishes featured. Open three meals a day. At the rustic little '''Abiquiu Inn'''; see below under """"Sleep.""""
- Mamacita Pizzeria
  Reasonably decent pizza. Right next door to Los Caminos Bar

[Bars]
- Los Caminos Bar
  Serves beer on tap, also serves liquor and mixed drinks. They also have package sales. Mostly a local hangout.

[Hotels]
- The Casita del Lago on Abiquiu Lake ($195)
  The Casita del Lago is a two-bedroom, two-bath, furnished private home that sits on 22 acres of pristine lakefront property on Abiquiu Lake in the heart of Georgia O’Keeffe territory. You can enjoy original artwork, the kitchen, free WIFI, two flat screen TVs, floor-to-ceiling windows, air conditioning, authentic furniture and furnishings, washer/dryer, great views and indoor and outdoor fireplaces.  You can also soak in the hot tub, nestled in the rocks above the lake, for a private viewing of the lake, Chama River and stars.
- Ghost Ranch
  Bed and Breakfast, lodging and camping available at Ghost Ranch. Rooms are basic, no frills, but clean and comfortable with magnificent views.
- Abiquiu Inn
  A good place to spend a quiet night far out in the boonies; both Cafe and Inn are much more comfortable than you'd expect. 25 great Casitas with Kiva fireplaces & wonderful views.
- Las Parras de Abiquiu ($130/night for 2 people (no breakfast))
  A true country experience. The 55-acre compound is surrounded by the white cliffs and mesas. There are two large, comfortable bedrooms, each with beautiful vistas of the landscape. Each includes a king size bed with down comforter, private full bath with Mexican tile, wood burning fireplace, hand carved furniture, private entrance & brick portal, thick terry towels & robes, and extra luxuries."
Abiquiu,I'd love a day-by-day 3-day itinerary for my trip from Taipei to Abiquiu.,"[Context]
[Attractions]
- Ghost Ranch
  An education and spiritual retreat center owned by the Presbyterian Church, Ghost Ranch is a large complex of lodging and conference facilities situated amidst some spectacular red rock scenery. The complex is open to anyone, with a visitor center, a pair of museums, and several hiking trails leading into the surrounding country. Most notably, Georgia O'Keefe maintaned a summer home here starting in 1934, and later purchased a home in the village proper; however, O'Keefe's Ghost Ranch home is not open to the public. Guided hikes and horseback rides are offered.
- Florence Hawley Ellis Museum of Anthropology (Admission by donation)
  Displays artifacts from ancient Paleo Indian cultures, including material excavated from sites on the Ghost Ranch property, as well as the work of local Native and Hispanic artists.
- Georgia O'Keefe House
  The main home and studio of Georgia O'Keefe in Abiquiu. Open to the public on a reservation basis, you must book tours through the Georgia O'Keefe Museum in Santa Fe, online at the link provided. No walk-ins are allowed.

[Activities]
- Christ in the Desert Monastery (Free)
  The Monastery is situated in a beautiful, quiet canyon in northwestern New Mexico, surrounded by miles of government-protected wilderness. The chief architect of the original monastery was George Nakashima, famous Japanese-American woodworker and architect. The church, meditation garden (next to the church), gift shop, and restrooms located in the lobby are open to the public. Visitors are welcomed.

[Shops]
- Bode's General Store
  A true general store since 1919. Also the last gas station going north until Cebolla. Variety of groceries, snacks, beer, wine and spirit. Organic frozen meats, selection of wines, large selection of cold beer and drinks. Cleaning and paper products, household and picnic needs. Also a '''cafe''' with fresh-brewed coffee, pastries, pies, muffins and cookies. They serve up breakfast in theAM, and burgers, burritos, frito pie, deli sandwiches and more for lunch. They also have beer on tap. After 3:30, they have a hot case with burritos and burgers, and a cold case with sandwiches and salads.

[Restaurants]
- Cafe Abiquiu
  On US 84;. An entertainingly eclectic menu with Southwestern and Mediterranean dishes featured. Open three meals a day. At the rustic little '''Abiquiu Inn'''; see below under """"Sleep.""""
- Mamacita Pizzeria
  Reasonably decent pizza. Right next door to Los Caminos Bar

[Bars]
- Los Caminos Bar
  Serves beer on tap, also serves liquor and mixed drinks. They also have package sales. Mostly a local hangout.

[Hotels]
- Abiquiu Inn
  A good place to spend a quiet night far out in the boonies; both Cafe and Inn are much more comfortable than you'd expect. 25 great Casitas with Kiva fireplaces & wonderful views.
- Ghost Ranch
  Bed and Breakfast, lodging and camping available at Ghost Ranch. Rooms are basic, no frills, but clean and comfortable with magnificent views.
- The Casita del Lago on Abiquiu Lake ($195)
  The Casita del Lago is a two-bedroom, two-bath, furnished private home that sits on 22 acres of pristine lakefront property on Abiquiu Lake in the heart of Georgia O’Keeffe territory. You can enjoy original artwork, the kitchen, free WIFI, two flat screen TVs, floor-to-ceiling windows, air conditioning, authentic furniture and furnishings, washer/dryer, great views and indoor and outdoor fireplaces.  You can also soak in the hot tub, nestled in the rocks above the lake, for a private viewing of the lake, Chama River and stars.
- Las Parras de Abiquiu ($130/night for 2 people (no breakfast))
  A true country experience. The 55-acre compound is surrounded by the white cliffs and mesas. There are two large, comfortable bedrooms, each with beautiful vistas of the landscape. Each includes a king size bed with down comforter, private full bath with Mexican tile, wood burning fireplace, hand carved furniture, private entrance & brick portal, thick terry towels & robes, and extra luxuries."
Abiquiu,Can you create a 4-day travel itinerary from Lagos to Abiquiu?,"[Context]
[Attractions]
- Ruth Hall Museum of Paleontology ($4 adults, $3 seniors, $2 children)
  Ghost Ranch is noted in the paleontology community for being the site of one of the best-known sources of fossils from the Triassic period, when dinosaurs began to emerge on the planet. The fossils at this small but engaging museum reflect that legacy, including the skeleton of a ''Coelophysis'', one of the very first dinosaurs. There are also some interactive exhibits, as well as a huge block of dinosaur bones from the Ghost Ranch property that is being worked on in the middle of the museum.
- Ghost Ranch
  An education and spiritual retreat center owned by the Presbyterian Church, Ghost Ranch is a large complex of lodging and conference facilities situated amidst some spectacular red rock scenery. The complex is open to anyone, with a visitor center, a pair of museums, and several hiking trails leading into the surrounding country. Most notably, Georgia O'Keefe maintaned a summer home here starting in 1934, and later purchased a home in the village proper; however, O'Keefe's Ghost Ranch home is not open to the public. Guided hikes and horseback rides are offered.
- Florence Hawley Ellis Museum of Anthropology (Admission by donation)
  Displays artifacts from ancient Paleo Indian cultures, including material excavated from sites on the Ghost Ranch property, as well as the work of local Native and Hispanic artists.
- Georgia O'Keefe House
  The main home and studio of Georgia O'Keefe in Abiquiu. Open to the public on a reservation basis, you must book tours through the Georgia O'Keefe Museum in Santa Fe, online at the link provided. No walk-ins are allowed.

[Activities]
- Christ in the Desert Monastery (Free)
  The Monastery is situated in a beautiful, quiet canyon in northwestern New Mexico, surrounded by miles of government-protected wilderness. The chief architect of the original monastery was George Nakashima, famous Japanese-American woodworker and architect. The church, meditation garden (next to the church), gift shop, and restrooms located in the lobby are open to the public. Visitors are welcomed.

[Shops]
- Bode's General Store
  A true general store since 1919. Also the last gas station going north until Cebolla. Variety of groceries, snacks, beer, wine and spirit. Organic frozen meats, selection of wines, large selection of cold beer and drinks. Cleaning and paper products, household and picnic needs. Also a '''cafe''' with fresh-brewed coffee, pastries, pies, muffins and cookies. They serve up breakfast in theAM, and burgers, burritos, frito pie, deli sandwiches and more for lunch. They also have beer on tap. After 3:30, they have a hot case with burritos and burgers, and a cold case with sandwiches and salads.

[Restaurants]
- Cafe Abiquiu
  On US 84;. An entertainingly eclectic menu with Southwestern and Mediterranean dishes featured. Open three meals a day. At the rustic little '''Abiquiu Inn'''; see below under """"Sleep.""""
- Mamacita Pizzeria
  Reasonably decent pizza. Right next door to Los Caminos Bar

[Bars]
- Los Caminos Bar
  Serves beer on tap, also serves liquor and mixed drinks. They also have package sales. Mostly a local hangout.

[Hotels]
- Abiquiu Inn
  A good place to spend a quiet night far out in the boonies; both Cafe and Inn are much more comfortable than you'd expect. 25 great Casitas with Kiva fireplaces & wonderful views.
- Ghost Ranch
  Bed and Breakfast, lodging and camping available at Ghost Ranch. Rooms are basic, no frills, but clean and comfortable with magnificent views.
- The Casita del Lago on Abiquiu Lake ($195)
  The Casita del Lago is a two-bedroom, two-bath, furnished private home that sits on 22 acres of pristine lakefront property on Abiquiu Lake in the heart of Georgia O’Keeffe territory. You can enjoy original artwork, the kitchen, free WIFI, two flat screen TVs, floor-to-ceiling windows, air conditioning, authentic furniture and furnishings, washer/dryer, great views and indoor and outdoor fireplaces.  You can also soak in the hot tub, nestled in the rocks above the lake, for a private viewing of the lake, Chama River and stars.
- Las Parras de Abiquiu ($130/night for 2 people (no breakfast))
  A true country experience. The 55-acre compound is surrounded by the white cliffs and mesas. There are two large, comfortable bedrooms, each with beautiful vistas of the landscape. Each includes a king size bed with down comforter, private full bath with Mexican tile, wood burning fireplace, hand carved furniture, private entrance & brick portal, thick terry towels & robes, and extra luxuries."
Acapulco,I'm planning a 3-day trip from Calgary to Acapulco. Could you build a day-by-day travel itinerary?,"[Context]
[Restaurants]
- El Nopalito (35 pesos a meal, handmade tortillas and fruit water included (as of Jan, 2013))
  A traditional Mexican family restaurant, the most authentic one downtown, this is the real deal, real Mexican taste. They specialize in traditional Mexican food as well as some South American dishes that have been introduced to México during the years. Everything is prepared with food obtained from local food providers instead of supermarkets, which makes eating there an economical support to fair trade.
- Señor Frog's
  Señor Frog's is a party place; outside you will see signs that read """"Drunk Crossing""""; from that you can infer what this place is like.
- 100% Natural
  A Mexican chain of restaurants in many locations throughout the city, including the beach. They specialize in traditional Mexican food prepared with a healthy slant and different sorts of tropical and nutritional juice blends. A hearty, tasty breakfast ranges between 35 and 70 pesos, not including a juice drink. Very clean, with prompt service.

[Bars]
- Baby'O
  Is one of Acapulco's perennial favorites. Baby'O is by far the most luxurious (and expensive) club in Acapulco and is favored especially by the 18 to 35 set of Mexico City's upper-class. Here, you will be able to revel in luxury. Expect to pay at least a $600 pesos cover charge and $80-$150 pesos for a drink.
- Palladium
  Is the other super club in Acapulco. It is in Las Brisas, perched on top of a cliff overlooking Acapulco. The large panoramic glass wall which forms one side of the dancefloor is very impressive. Prices are about the same as in Alebrije, drinks included in the cover charge. Tipping is also a good idea at Palladium; one group saw non-tippers wait 20&nbsp;minutes for service and tippers serviced immediately.

[Hotels]
- Las Torres Gemelas
  Condominium/hotel complex translating to """"The Twin Towers"""" in the middle of hotel district. Constructed in 1975 and renovated in 2002, offers a kitchenette in every room. The hotel gets some pretty rough reviews around the hotel review sites.
- Las Brisas
  A complex of ´Casitas´ at the top of a hill overlooking the bay. A private beach club helps avoid the masses (and the rubbish floating in the water). The only issue is that it is a long way out of town - it´s not possible to walk anywhere. Taxi drivers are aware that the resort is expensive and therefore massively overcharge customers who go there, but Las Brisas also rents their iconic pink jeeps to guests.
- Kingdom Youth Hostel
  A former athletic training facility, a treat for the active or indolent. Friendly managers as of 2005. Inexpensive, with excellent showers and plenty of hammocks, internet access and a small bar. Outside of Acapulco proper, but that means it's near a quiet beach; a cab ride into the disco zone is about 10 pesos."
